system,dataset,repeat,MAPE,MAE,RMSE
h2,smallbank-1.csv,1,0.05765238609278888,1123.2984790806497,1354.0432243805237
h2,smallbank-1.csv,2,0.0558050172327642,1100.4552028175813,1329.6765354372012
h2,smallbank-1.csv,3,0.05684263402137037,1118.7110387805756,1353.4859569534478
h2,smallbank-1.csv,4,0.05660577182654558,1103.5867386883124,1334.6350884383692
h2,smallbank-10.csv,0,0.04625650235100523,635.7154647420315,767.5250970866862
h2,smallbank-10.csv,1,0.045831981334716776,622.1980606553606,746.4520852308935
h2,smallbank-10.csv,2,0.04729344783584369,644.0153964318912,779.0384440246354
h2,smallbank-10.csv,3,0.046167158607156325,634.2152662495614,755.7946045218106
h2,smallbank-10.csv,4,0.04536817143222272,611.094664056221,732.6350852910958
h2,tpcc-2.csv,0,0.04160970494529258,30.553995049632842,37.4369473763617
h2,tpcc-2.csv,1,0.041676013679039406,30.5185828135542,37.89122191628459
h2,tpcc-2.csv,2,0.0406409606405217,30.06631896115361,37.188947094017216
h2,tpcc-2.csv,3,0.042262740155313304,30.972237604367827,38.075074040156856
h2,tpcc-2.csv,4,0.03971992552677197,28.873645035915516,35.96563039113371
h2,tpcc-8.csv,0,0.20712011541634304,111.354299225624,167.40047337597198
h2,tpcc-8.csv,1,0.20691480485421435,107.71578340625182,164.38760502009552
h2,tpcc-8.csv,2,0.1994482698697443,109.598540671467,163.525497047132
h2,tpcc-8.csv,3,0.19994395716633626,107.27837105418747,160.6936218619952
h2,tpcc-8.csv,4,0.18965232549087505,103.47802309750709,157.00903337234018
h2,voter-16.csv,0,0.07653023484419412,2457.007611017368,2736.234734162963
h2,voter-16.csv,1,0.07703460979626466,2416.326408448368,2728.140747763974
h2,voter-16.csv,2,0.07601427732876234,2414.2918937964946,2660.3693046792873
h2,voter-16.csv,3,0.07620189218360483,2401.748813011956,2661.451381258916
h2,voter-16.csv,4,0.0750156318628878,2354.5532620442305,2627.4954389703375
h2,voter-2.csv,0,0.07944090514259809,2540.156843266216,2841.825370814461
h2,voter-2.csv,1,0.08073307430415834,2519.814447505727,2824.1431101018097
h2,voter-2.csv,2,0.07950208180604333,2509.0354274098786,2745.019126349208
