system,dataset,fold,MAPE,MAE,RMSE
dconvert,jpeg-large.csv,2,0.024789689361240496,0.08008533350556142,0.1171409162943206
dconvert,jpeg-large.csv,3,0.02586090680475473,0.08779237857150397,0.12620011122385114
dconvert,jpeg-large.csv,4,0.025323289711870176,0.08403191499456146,0.1162538500614755
dconvert,jpeg-medium.csv,0,0.019565261445599873,0.034409407853903985,0.04876062762316706
dconvert,jpeg-medium.csv,1,0.01958310763051881,0.034961975334488894,0.05048612016423963
dconvert,jpeg-medium.csv,2,0.020859524743213103,0.03586620378740964,0.047350995525030914
dconvert,jpeg-medium.csv,3,0.020303507961007727,0.03552267116171646,0.04728413262118989
dconvert,jpeg-medium.csv,4,0.019925929371393765,0.03433956681976657,0.047833808688094295
dconvert,jpeg-small.csv,0,0.03279098539558298,0.014032423562326875,0.01790455331781536
dconvert,jpeg-small.csv,1,0.030901455130165848,0.01334238252812461,0.017860515174485433
dconvert,jpeg-small.csv,2,0.03231395549677802,0.013976535837648537,0.018119926917608702
dconvert,jpeg-small.csv,3,0.03165720951777481,0.013605854705978304,0.01768022582522359
dconvert,jpeg-small.csv,4,0.03141843536337257,0.013496976808683408,0.017577216772134748
dconvert,png-large.csv,0,0.022975464303503335,0.05533361152992897,0.07309174405607416
dconvert,png-large.csv,1,0.022962263405814826,0.056516211559749584,0.0740613178096941
dconvert,png-large.csv,2,0.023427798678773957,0.057299793603591186,0.0751519212912356
dconvert,png-large.csv,3,0.022836185251492766,0.055454111416429745,0.07339286870176588
dconvert,png-large.csv,4,0.02247348123907214,0.05401900490007457,0.0704172893286717
dconvert,png-medium.csv,0,0.025371685143614393,0.016035131454820203,0.0205165251287866
dconvert,png-medium.csv,1,0.026977313270826475,0.017079958454027763,0.021671695760288198
dconvert,png-medium.csv,2,0.025034089916025064,0.01594483671766339,0.020445353267049726
dconvert,png-medium.csv,3,0.02392881527851116,0.015139571160452505,0.01959250840284874
dconvert,png-medium.csv,4,0.03064282888863581,0.019142897039122836,0.024478315717386526
dconvert,png-small.csv,0,0.030200319718936122,0.013607911022169362,0.018108159739667947
dconvert,png-small.csv,1,0.031853303811620194,0.014307468755105999,0.01940565243612085
