system,dataset,repeat,MAPE,MAE,RMSE
batlik,frisco.csv,0,0.03625797566774609,0.17051921166911,0.2131576879245445
batlik,frisco.csv,1,0.03363446258991689,0.15741289911882045,0.19666266292144757
batlik,frisco.csv,2,0.03084641179296806,0.14115249494991391,0.18728625330077445
batlik,frisco.csv,3,0.033090312064299764,0.15580996996919874,0.19260928822114343
batlik,frisco.csv,4,0.03324061097013277,0.15343847856835022,0.19785853910484488
batlik,jelly.csv,0,0.03213390589979923,0.05787055947597784,0.08627291157907847
batlik,jelly.csv,1,0.029083650203433672,0.05598652922491512,0.08549828563828064
batlik,jelly.csv,2,0.02694611691481658,0.04980221581944091,0.0709296880428568
batlik,jelly.csv,3,0.028507725735958993,0.05304082551845735,0.07760350060717235
batlik,jelly.csv,4,0.027086760390649108,0.051951008410147846,0.08859273014943556
batlik,karte.csv,0,0.018045139147118538,0.22518514280960966,0.2994280599803716
batlik,karte.csv,1,0.02069782653736752,0.2442219186463453,0.3063642282961723
batlik,karte.csv,2,0.01967452350764814,0.24337994585947625,0.3192830604995432
batlik,karte.csv,3,0.01861605705705433,0.2340934780282034,0.3098993716150293
batlik,karte.csv,4,0.022170966121198343,0.27415414222156126,0.35800828187195455
batlik,mandelbrot.csv,0,0.03674474697259552,0.047875732509929436,0.06057414978181601
batlik,mandelbrot.csv,1,0.03308100341705498,0.04275188498280604,0.05387650922169688
batlik,mandelbrot.csv,2,0.03179436435650187,0.04129406898420928,0.05205052637448133
batlik,mandelbrot.csv,3,0.03175392584740076,0.041125990415402984,0.05324177216688737
batlik,mandelbrot.csv,4,0.047185489184772895,0.0629046616233384,0.08643493070285496
batlik,strawberry.csv,0,0.030215340902662376,0.048408681984425335,0.0610362889045979
batlik,strawberry.csv,1,0.02727254813325565,0.04345040179567531,0.05442052270505963
batlik,strawberry.csv,2,0.028373425003709166,0.04486389339250018,0.056941889254736214
batlik,strawberry.csv,3,0.028685243362700796,0.04475209522695049,0.05575573962528096
batlik,strawberry.csv,4,0.030982408926769154,0.049302204487282716,0.0603365611109331
batlik,village.csv,0,0.03643359622444855,0.14009154309316046,0.2675898797845239
batlik,village.csv,1,0.03452049669262568,0.13847456123907242,0.25765726306278575
batlik,village.csv,2,0.03330620104392788,0.13400808074664622,0.26731475416850076
batlik,village.csv,3,0.0483778750203277,0.1632795302147783,0.2728442362152131
batlik,village.csv,4,0.05434526593025707,0.19415438865458648,0.33360890734160475
dconvert,jpeg-large.csv,0,0.02699568639740137,0.0886395807909352,0.11974248443660312
dconvert,jpeg-large.csv,1,0.03051726768892816,0.10019401781518796,0.12980259597826815
dconvert,jpeg-large.csv,2,0.02952747464250369,0.09475163722736389,0.12711351396230264
dconvert,jpeg-large.csv,3,0.027201778236295448,0.09105256868868458,0.1275756120200516
dconvert,jpeg-large.csv,4,0.026420143872890118,0.08724886781892209,0.12438470100396302
dconvert,jpeg-medium.csv,0,0.026497466580687308,0.04498451387554328,0.05691200355202062
dconvert,jpeg-medium.csv,1,0.028041969624374948,0.04843931089171077,0.061302681541218776
dconvert,jpeg-medium.csv,2,0.02684972228062562,0.04570231378448676,0.05823417790114673
